Title,Link,Sentence,Head,Tail,Relation
HVAC SYSTEM AND ZONE CONTROL UNIT,https://patents.justia.com/patent/20100307733,"HVAC systems, zone control units, and control systems are provided.",zone control unit,hvac systems,subclass of
HVAC SYSTEM AND ZONE CONTROL UNIT,https://patents.justia.com/patent/20100307733,An exhaust air system can be used to extract air from serviced building zones.,exhaust air system,extract air,subclass of
HVAC SYSTEM AND ZONE CONTROL UNIT,https://patents.justia.com/patent/20100307733,An HVAC zone control unit can include a local control unit with an Internet protocol address.,local control unit,hvac zone control unit,subclass of
HVAC SYSTEM AND ZONE CONTROL UNIT,https://patents.justia.com/patent/20100307733,The control program can control of the zone control unit in response to commands received via the Internet.,zone control unit,control program,subclass of
HVAC system and zone control unit,https://patents.justia.com/patent/9677777,"This invention relates to HVAC systems, zone control units, and control systems.",zone control unit,hvac system,part of
HVAC system and zone control unit,https://patents.justia.com/patent/9677777,The control program controls of the zone control unit in response to commands received via the Internet.,zone control unit,control program controls,subclass of
HVAC theft deterrent apparatus and method,https://patents.justia.com/patent/8596099,"An apparatus for deterring theft of an outdoor-type HVAC condenser unit that includes a first cut-resistant, elongate restraint for being extended across a top and down opposing sides of the unit, and includes on opposite ends thereof a respective anchor for being secured in a supporting structure on which the unit is positioned.",condenser unit,hvac,subclass of
HVAC theft deterrent apparatus and method,https://patents.justia.com/patent/8596099,"A second cut-resistant, elongate restraint is provided for being extended across the top and down opposing sides of the unit in spaced-apart relation to and intersecting the first restraint, and includes on opposite ends thereof a respective anchor for being secured in the supporting structure on which the unit is positioned.",anchor,supporting structure,part of
Opto-programmed HVAC controller,https://patents.justia.com/patent/7797080,This new CS uses methods and apparatus based on Opto-Programming & Processing (OP),opto-programming & processing,opto-programming,use
Opto-programmed HVAC controller,https://patents.justia.com/patent/7797080,"This new CS adapts, adjusts, varies electric motor(s) and device(s), speeds and actions by concurrently adjusting motor voltage, frequency and phase as needed; to control fan output(s), associated damper actuators, valve actuators, or other unit devices.",damper actuators,valve actuators,subclass of
SYSTEM OF HVAC FAULT DETECTION USING THERMOSTAT DATA,https://patents.justia.com/patent/20190293313,"A method of operating a heating, ventilation, and air conditioning (HVAC) analytics system is provided.","heating, ventilation, and air conditioning",hvac,subclass of
PROGNOSTICS SYSTEM AND METHOD FOR HVAC SYSTEM COMFORT FAILURE FORECASTING,https://patents.justia.com/patent/20190293318,"The method comprising: obtaining HVAC data for an HVAC unit in electronic communication with the HVAC analytics system; obtaining an HVAC unit characteristic of the HVAC unit; determining an HVAC comfort performance index (CPI) in response to the HVAC data and the HVAC unit characteristic; determining an HVAC CPI degradation trend line in response to the HVAC comfort performance index; obtaining weather data for a geographical area where the HVAC system is located, the weather data including a predicted outside air temperature (OAT); and determining a point in time where the predicted OAT is equivalent to the HVAC CPI degradation trend line.",hvac analytics system,hvac,facet of
