Title,Link,Abstract
HVAC SYSTEM AND ZONE CONTROL UNIT,https://patents.justia.com/patent/20100307733,"Abstract:  HVAC systems, zone control units, and control systems are provided. An HVAC system employs distributed zone control units that provides for localized air recirculation. A zone control unit can include a return air section that receives return air from serviced building zones and can mix the return air with a supply of outside air. The mixed air can be heated and/or cooled by the zone control unit and discharged to serviced building zones in a controlled manner. An exhaust air system can be used to extract air from serviced building zones. An HVAC zone control unit can include a local control unit with an Internet protocol address. The local control unit can include a memory and a processor for storing and executing a control program for the zone control unit. The control program can control of the zone control unit in response to commands received via the Internet."
HVAC system and zone control unit,https://patents.justia.com/patent/9677777,"Abstract:  This invention relates to HVAC systems, zone control units, and control systems. More specifically, an HVAC system employs distributed zone control units that provides localized air recirculation. A zone control unit includes a return air section that receives return air from serviced building zones and mixes the return air with a supply of outside air. The mixed air is heated and/or cooled by the zone control unit and discharged to serviced building zones in a controlled manner. An exhaust air system is used to extract air from serviced building zones. The HVAC zone control unit also includes a local control unit with an Internet protocol address. The local control unit includes a memory and a processor for storing and executing a control program for the zone control unit. The control program controls of the zone control unit in response to commands received via the Internet."
HVAC SYSTEM AND ZONE CONTROL UNIT,https://patents.justia.com/patent/20160123608,"Abstract:  HVAC systems, zone control units, and control systems are provided. An HVAC system employs distributed zone control units that provides for localized air recirculation. A zone control unit can include a return air section that receives return air from serviced building zones and can mix the return air with a supply of outside air. The mixed air can be heated and/or cooled by the zone control unit and discharged to serviced building zones in a controlled manner. An exhaust air system can be used to extract air from serviced building zones. An HVAC zone control unit can include a local control unit with an Internet protocol address. The local control unit can include a memory and a processor for storing and executing a control program for the zone control unit. The control program can control of the zone control unit in response to commands received via the Internet."
HVAC theft deterrent apparatus and method,https://patents.justia.com/patent/8596099,"Abstract:  An apparatus for deterring theft of an outdoor-type HVAC condenser unit that includes a first cut-resistant, elongate restraint for being extended across a top and down opposing sides of the unit, and includes on opposite ends thereof a respective anchor for being secured in a supporting structure on which the unit is positioned. A second cut-resistant, elongate restraint is provided for being extended across the top and down opposing sides of the unit in spaced-apart relation to and intersecting the first restraint, and includes on opposite ends thereof a respective anchor for being secured in the supporting structure on which the unit is positioned. At least one lock is provided for connecting together the first restraint and the second restraint at a point of intersecting the first restraint and the second restraint."
Opto-programmed HVAC controller,https://patents.justia.com/patent/7797080,"Abstract:  A Heating, Ventilating, and Air Conditioning (HVAC) Management and Control System (CS) that provides “Closed Loop Adaptive Climate Control” of heating, cooling, ventilation or any combination thereof to an occupied space using standard AC electric induction motor(s) connected to a fan and other motor or electric powered devices. This new CS uses methods and apparatus based on Opto-Programming & Processing (OP) Analog techniques that allow multi-dimensional concurrent variables to continuously and Adaptively vary the quantity and/or rate of discharge air, return air, outside air (where available), discharge air temperature and thermal (heat/cool) fluid flow. This new CS adapts, adjusts, varies electric motor(s) and device(s), speeds and actions by concurrently adjusting motor voltage, frequency and phase as needed; to control fan output(s), associated damper actuators, valve actuators, or other unit devices."
A METHOD OF COMMISSIONING PHYSICAL HVAC DEVICES OF AN HVAC SYSTEM FOR AN HVAC APPLICATION,https://patents.justia.com/patent/20240263825,"Abstract:  A method of commissioning physical HVAC devices for an HVAC application including communicatively connecting physical HVAC devices to a communication bus, one physical HVAC device being selected as master HVAC device, identifying the physical HVAC devices connected to the communication bus, determining device type(s) of the physical HVAC devices, receiving an application model including a device list listing virtual HVAC devices of the HVAC application, generating, by the master HVAC device, a mapping of the physical HVAC devices to the virtual HVAC devices using the device type(s) of the physical HVAC devices and of the virtual HVAC devices."
SYSTEM OF HVAC FAULT DETECTION USING THERMOSTAT DATA,https://patents.justia.com/patent/20190293313,"Abstract:  A method of operating a heating, ventilation, and air conditioning (HVAC) analytics system is provided. The method comprising: obtaining HVAC data for an HVAC unit; obtaining an HVAC unit characteristic of the HVAC unit; determining performance parameters of the HVAC unit in response to the HVAC data and the HVAC unit characteristic; identifying one or more system models for the HVAC unit in response to the performance parameters; determining one or more HVAC performance indices in response to the one or more system models, HVAC data, and the HVAC unit characteristic; generating an HVAC performance report in response to the one or more performance indices; and transmitting the HVAC performance report to a user device."
PROGNOSTICS SYSTEM AND METHOD FOR HVAC SYSTEM COMFORT FAILURE FORECASTING,https://patents.justia.com/patent/20190293318,"Abstract:  According to one embodiment, a method of operating a heating, ventilation, and air conditioning (HVAC) analytics system is provided. The method comprising: obtaining HVAC data for an HVAC unit in electronic communication with the HVAC analytics system; obtaining an HVAC unit characteristic of the HVAC unit; determining an HVAC comfort performance index (CPI) in response to the HVAC data and the HVAC unit characteristic; determining an HVAC CPI degradation trend line in response to the HVAC comfort performance index; obtaining weather data for a geographical area where the HVAC system is located, the weather data including a predicted outside air temperature (OAT); and determining a point in time where the predicted OAT is equivalent to the HVAC CPI degradation trend line."
HVAC CONTROLLER HAVING A NETWORK-BASED SCHEDULING FEATURE,https://patents.justia.com/patent/20140031992,"Abstract:  A master HVAC schedule for an HVAC controller may be stored on an external server accessible over a computer network. The external server may maintain the master HVAC schedule, and may translate a portion of the master HVAC schedule into a basic HVAC schedule that is executable by an HVAC controller. The external server may deliver the basic HVAC schedule to an HVAC controller according to a predetermined schedule. In some cases, the external server may deliver an updated basic HVAC schedule to the HVAC controller in response to a user initiated change made to the master HVAC schedule or upon restoration of a lost network connection between the HVAC controller and the external server."
SYSTEM AND METHOD OF HVAC HEALTH MONITORING FOR CONNECTED HOMES,https://patents.justia.com/patent/20190293316,"Abstract:  According to one embodiment, a method of operating a heating, ventilation, and air conditioning (HVAC) analytics system is provided. The method comprising: obtaining HVAC data for an HVAC unit in electronic communication with the HVAC analytics system; obtaining an HVAC unit characteristic of the HVAC unit; obtaining weather data for a geographical area where the HVAC unit is located; and determining an HVAC capacity available ratio (CAR) in response to the weather data, the HVAC unit characteristics, and the HVAC data."
